年度,日期,片名中文,英文片名,國家,評分,Wiki,IMDb_ID,豆瓣ID,HackMD_ID,Google,Wiki,IMDb,豆瓣,Note,人物標籤,主題標籤,Remark
2022,2022-03-11,媽的多重宇宙,Everything Everywhere All at Once,美,9,天馬行空_(電影),tt6710474,30314848,9iyybUNITYOlubHDKeuuJg,Google,Wiki,IMDb,豆瓣,Note,@楊紫瓊 @關繼威 @潔美·李·寇蒂斯,#性別,
2022,2022-04-15,洞裡的月亮,The Moon In The Cave,台,7,,,35623595,9lSx3Go2SrezZy6Xa-NDzw,Google,x,x,豆瓣,Note,,,
2022,2022-04-01,泡泡劇組,The Bubble say,美,4,,tt13610562,35410551,gN_m8yfwTl-I85WIr-Gs0A,Google,x,IMDb,豆瓣,Note,,#電影,
2022,2022-04-01,魔比斯,Morbius,美,4,魔比斯_(電影),tt5108870,27199850,RhI58WHrSoyrunCWmhdOuQ,Google,Wiki,IMDb,豆瓣,Note,@傑瑞德·雷托,,
2022,2022-03-25,劫命救護,Ambulance,美,6,劫命救護,tt4998632,35250237,-kgAJJJHSn-VJIgiHut_Rg,Google,Wiki,IMDb,豆瓣,Note,@@麥可·貝 @傑克·葛倫霍,,
2022,2022-03-25,野夏天,Summer ,中,6,,tt17336922,34833903,TkBrBEO0R92XSRtJMch5iw,Google,x,IMDb,豆瓣,Note,,#運動,
2022,2022-03-18,奇怪的數學家,In Our Prime,韓,6,奇怪國家的數學家,tt12663772,34816458,xyctRhLiQsKqi05F2qgqZw,Google,Wiki,IMDb,豆瓣,Note,,#數學,
2022,2022-03-18,咒,Incantation,台,7,咒_(電影),tt18968540,34850561,atyc0K2eSkGDPEOkMZ6UCg,Google,Wiki,IMDb,豆瓣,Note,,#恐怖片,
2022,2022-03-18,少年吔,Untouchable,台,5,,,35610663,9PYM-cQNR7yWHno6803Rxw,Google,x,x,豆瓣,Note,,#黑幫,
2022,2022-03-12,失落謎城,The Lost City,美,7,失落謎城,tt13320622,35303842,qDQxoqV5RhOT_Ir67zew6g,Google,Wiki,IMDb,豆瓣,Note,@珊卓·布拉克 @查寧·塔圖 @丹尼爾·雷德克里夫 @布萊德·彼特,,
2022,2022-03-11,超時空亞當計畫,The Adam Project,美,7,超時空亞當計畫,tt2463208,34970181,64oh9VXmTUu6858sHwwKaA,Google,Wiki,IMDb,豆瓣,Note,@萊恩·雷諾斯,#時空穿越,
2022,2022-03-11,青春養成記,Turning Red,美,7,熊抱青春記,tt8097030,35284253,jZK1ga57SqOOLiXr402iaw,Google,Wiki,IMDb,豆瓣,Note,,#動畫 !皮克斯(25),
2022,2022-03-01,蝙蝠俠,The Batman,美,7,蝙蝠俠_(2022年電影),tt1877830,6424756,AelkHtUARUit1ijn__7e8w,Google,Wiki,IMDb,豆瓣,Note,@羅伯·派汀森,##蝙蝠俠,
2022,2022-02-24,凝弒,Cracked,泰,5,,tt18362996,35088772,y1EZbxWUSI-vm_cxkqFmEw,Google,x,IMDb,豆瓣,Note,,#恐怖片,
2022,2022-02-14,逍遙上路,Dog,美,7,逍遙上路,tt11252248,34881711,e1iVIwhCQ4a6oZYbMkrgJQ,Google,Wiki,IMDb,豆瓣,Note,@查寧·塔圖,#狗 #公路電影,
2022,2022-02-11,尼羅河謀殺案,Death on the Nile,英,6,尼羅河謀殺案_(2022年電影),tt7657566,27203644,g8is_haqTdq53VyW5aUIUg,Google,Wiki,IMDb,豆瓣,Note,@@肯尼斯·布萊納,#阿嘉莎·克莉絲蒂,
2022,2022-02-11,解禁男女,Love and Leashes,韓,6,解禁男女,tt15553956,35241052,dXTelkJdSxWUtM3ri9DY3A,Google,Wiki,IMDb,豆瓣,Note,,#疾病,
2022,2022-02-10,黑光行動,Blacklight,美,3,黑光行動,tt14060094,35399990,lV6_90yBQTWW1chiZbUfSw,Google,Wiki,IMDb,豆瓣,Note,@連恩·尼遜,,
2022,2022-02-09,娶我吧！,Marry Me,美,7,与我结婚,tt10223460,34470709,i8zJcLhyR3atfxy0JtybRA,Google,Wiki,IMDb,豆瓣,Note,@珍妮佛·羅培茲 @歐文·威爾森,,
2022,2022-02-08,秘境探險,Uncharted,美,6,秘境探險_(電影),tt1464335,3822687,R-Gy2xdQSayxTp_pjQKhWA,Google,Wiki,IMDb,豆瓣,Note,@湯姆·霍蘭德,,
2022,2022-02-02,月球隕落,Moonfall,美,6,月球隕落,tt5834426,26825482,VCg93Xa6TxqTwhPnHM17uw,Google,Wiki,IMDb,豆瓣,Note,,,
2022,2022-01-28,素還真,Demigod: The Legend Begins,台,7,素還真_(電影),tt16077426,35622269,K-FTDAL2TwqzRVMjOLva_A,Google,Wiki,IMDb,豆瓣,Note,,,
2022,2022-01-28,我吃了那男孩一整年的早餐,My Best Friend's Breakfast,台,6,我吃了那男孩一整年的早餐,tt17292614,35448983,opT1Mtg8RjSG4ZrGT9VoGA,Google,Wiki,IMDb,豆瓣,Note,,,
2022,2022-01-26,友你才精彩,Presque,法,7,,tt13553662,35480128,dhdSqOkyRuyKwh_C4Nn1nw,Google,x,IMDb,豆瓣,Note,,#死亡 #疾病 #公路電影,
2022,2022-01-20,完美陌生人,Perfect Strangers,黎巴嫩,6,,tt11112784,35224656,lvgpwnixRTmC4GAQdIygWQ,Google,x,IMDb,豆瓣,Note,,##完美陌生人,
2022,2022-01-19,再說一次我願意,Say Yes Again,台,6,再說一次我願意_(台灣電影),tt15677260,35398266,4OvQB9yEQfycWzSbThiVGw,Google,Wiki,IMDb,豆瓣,Note,,#時空穿越,
2022,2022-01-12,驚聲尖叫,Scream,美,4,驚聲尖叫_(2022年電影),tt11245972,34984272,11WThIlOSSmBKIQlvE6wiw,Google,Wiki,IMDb,豆瓣,Note,,#恐怖片,
2022,2022-01-05,355：諜影特攻,The 355,美,3,355：諜影特攻,tt8356942,30209725,VKOG_rm7TFCLRhb4nnw9Bw,Google,Wiki,IMDb,豆瓣,Note,@潔西卡·雀絲坦 @范冰冰,,
2021,2021-12-29,緣來大飯店,A Year-End Medley,韓,7,,tt16755970,35441797,,Google,x,IMDb,豆瓣,x,,,
2021,2021-12-24,不想一個人,Leave Me Alone,台,4,不想一個人,tt15743140,35575615,,Google,Wiki,IMDb,豆瓣,x,,,
2021,2021-12-24,一杯熱奶茶的等待,Waiting For My Cup Of Tea,台,3,,,35632944,mQw0rVPLQZ6uQ1tRYF43pA,Google,x,x,豆瓣,Note,,,
2021,2021-12-22,金牌特務：金士曼起源,The King's Man,美,7,金牌特務：金士曼起源,tt6856242,27038228,gsg3iTLwTZCNrNd-F7xEew,Google,Wiki,IMDb,豆瓣,Note,@雷夫·范恩斯,#戰爭(第一次世界大戰),
2021,2021-12-16,駭客任務：復活,The Matrix Resurrections,美,5,駭客任務：復活,tt10838180,34801038,KDbcQkm9RwaP2qflN8hvGA,Google,Wiki,IMDb,豆瓣,Note,@基努·李維,#時空穿越,
2021,2021-12-13,蜘蛛人：無家日,Spider-Man: No Way Home,美,9,蜘蛛人：無家日,tt10872600,26933210,,Google,Wiki,IMDb,豆瓣,x,@湯姆·霍蘭德 @陶比·麥奎爾 @安德魯·加菲爾德 @班奈狄克·康柏拜區,!漫威第四階段 ##蜘蛛人 #時空穿越,
2021,2021-12-11,丟包大作戰,You Keep The Kids!,西班牙,4,水底情深,tt12443220,35683703,JfRYo9FPS2mqX5fCW6DlJQ,Google,Wiki,IMDb,豆瓣,Note,,,
2021,2021-12-10,千萬別抬頭,Don't Look Up,美,7,千萬別抬頭,tt11286314,34884712,,Google,Wiki,IMDb,豆瓣,x,@李奧納多·狄卡皮歐 @珍妮佛·勞倫斯 @凱特·布蘭琪 @梅莉·史翠普 @提摩西·夏勒梅,,
2021,2021-12-02,成為里卡多之路,Being the Ricardos,美,5,里卡多一家,tt4995540,26604217,io0-dKH3Tni901675wY1Lg,Google,Wiki,IMDb,豆瓣,Note,@妮可·基嫚,,
2021,2021-12-01,夜路,Nightmare Alley,美,8,玉面情魔,tt7740496,27605105,jguqDIsOT7qJlceU4cEvHg,Google,Wiki,IMDb,豆瓣,Note,@@吉勒摩·戴托羅 @布萊德利·庫柏 @凱特·布蘭琪,,
2021,2021-11-24,惡靈古堡首部曲：拉昆市,Resident Evil: Welcome to Raccoon City,美,3,惡靈古堡首部曲：拉昆市,tt6920084,26140265,,Google,Wiki,IMDb,豆瓣,x,,,
2021,2021-11-24,配對遊戲,Nothing Serious,韓,4,,tt16303830,35183025,,Google,x,IMDb,豆瓣,x,,,
2021,2021-11-19,詭迷藏,Hide and Seek ,美,4,,tt7975192,30361187,Fyx7EM2bSQSy7bv9s5GwLA,Google,x,IMDb,豆瓣,Note,,#恐怖片,
2021,2021-11-19,青春弒戀,Terrorizers,台,4,青春弒戀,tt15138308,34973487,,Google,Wiki,IMDb,豆瓣,x,,,
2021,2021-11-17,作家我就爛,Perhaps Love,韓,4,,tt15587126,33434967,JhjdXVVjSlOagxQpUOylSw,Google,x,IMDb,豆瓣,Note,,,
2021,2021-11-15,少年,May You Stay Forever Young,香港,6,少年_(電影),tt15743130,,oX4AbiX5RtK5pOGZcnSPBw,Google,Wiki,IMDb,x,Note,,#反送中,
2021,2021-11-12,該死的阿修羅,Goddamned Asura,台,6,該死的阿修羅,tt15742308,35496289,AbIRqne2R1W81k8D4VrEEA,Google,Wiki,IMDb,豆瓣,Note,,,
2021,2021-11-10,倒數時刻,"Tick, Tick... Boom!",美,8,倒數時刻,tt8721424,30279170,1VdBvBv8RRaIMb150XeNhA,Google,Wiki,IMDb,豆瓣,Note,@安德魯·加菲爾德,,
2021,2021-11-10,大紅狗克里弗,Clifford the Big Red Dog,美,7,大紅狗克里弗_(電影),tt2397461,23774832,rACKarsARyakvXmGYGXqbg,Google,Wiki,IMDb,豆瓣,Note,,#狗,
2021,2021-11-09,Gucci: 豪門謀殺案,House of Gucci,美,8,Gucci：豪門謀殺案,tt11214590,3078409,Cz6tc-YEQ7eeA2iR2MsOog,Google,Wiki,IMDb,豆瓣,Note,@@雷利·史考特 @女神卡卡 @亞當·崔佛 @艾爾·帕西諾 @傑瑞德·雷托,,
2021,2021-11-08,終極狩獵團,Apex,美,2,終極狩獵團,tt13265876,35270339,jPaS8_JyRVSTQztWWnuvDw,Google,Wiki,IMDb,豆瓣,Note,@布魯斯·威利,,
2021,2021-11-05,芬奇的旅程,Finch,美,8,芬奇的旅程,tt3420504,26897885,LYOXFZAvSeS7XBk6D2qPIw,Google,Wiki,IMDb,豆瓣,Note,@湯姆·漢克,,
2021,2021-11-03,魔法滿屋,Encanto,美,8,奇幻魔法屋,tt2953050,35134724,gO6OBhD4QQijU91tRxAkKw,Google,Wiki,IMDb,豆瓣,Note,,#動畫 !迪士尼(60),
2021,2021-11-03,昨日的美食,What Did You Eat Yesterday?,日本,8,昨日的美食,tt14865506,35015968,i6NBElveRlKTlMqdKuXhFA,Google,Wiki,IMDb,豆瓣,Note,,#性別,
2021,2021-11-02,杰伊比姆,Jai Bhim,印度,8,,tt15097216,35652715,aTHgR_WEQT2GmPFiJdLSvw,Google,x,IMDb,豆瓣,Note,,#法律 #種族歧視,
2021,2021-10-31,美國女孩,American Girl,台,7,美國女孩,tt15620158,30359376,,Google,Wiki,IMDb,豆瓣,x,,,
2021,2021-10-29,天崩颶裂,13 Minutes,加拿大,3,,tt9274670,34935910,MGoFyLiQQwqG_AxfQJWvuw,Google,x,IMDb,豆瓣,Note,,,
2021,2021-10-22,超慄方殺陣,Cube,日本,4,,tt13975458,35348991,vpSRrVLnSrak70gCaIBLrw,Google,x,IMDb,豆瓣,Note,,,
2021,2021-10-18,永恆族,Eternals,美,8,永恆族_(電影),tt9032400,30223888,,Google,Wiki,IMDb,豆瓣,x,@@趙婷,!漫威第四階段 #手語,
2021,2021-10-18,北海浩劫,The Burning Sea,挪威,7,,tt12753120,34894551,vW0M8ZDeQieHg4B7K5dCDw,Google,x,IMDb,豆瓣,Note,,,
2021,2021-10-08,真相影印店,Photocopier,印尼,7,,tt13729220,35584688,V96ejS7sQJ2Y3WiuuxALNA,Google,x,IMDb,豆瓣,Note,,,
2021,2021-10-08,魔鬼剋星：未來世,Ghostbusters: Afterlife,美,5,魔鬼剋星_未來世,tt4513678,26838236,epiNpLCBR9WnV0JGF5wr4A,Google,Wiki,IMDb,豆瓣,Note,,,
2021,2021-10-08,鱷魚,Grit,台,4,,tt15445340,35240231,Abc8C-s8Scy634Gd9Y03AA,Google,x,IMDb,豆瓣,Note,,,
2021,2021-09-30,長津湖,The Battle at Lake Changjin,中,5,长津湖_(电影),tt13462900,25845392,eGj7ek9eTVGz9N-qEdZwLA,Google,Wiki,IMDb,豆瓣,Note,@@陳凱歌 @@徐克,#戰爭(韓戰),
2021,2021-09-29,西城故事,West Side Story,美,8,西城故事_(2021年電影),tt3581652,26820621,E6l1HXxLTVSoUoKNZ0VIKQ,Google,Wiki,IMDb,豆瓣,Note,@@史蒂芬·史匹柏,#音樂歌舞,
2021,2021-09-28,007 生死交戰,No Time to Die,美,7,007：生死交戰,tt2382320,20276229,,Google,Wiki,IMDb,豆瓣,x,@丹尼爾·克雷格 @雷夫·范恩斯,!007(25),
2021,2021-09-24,馬克白,The Tragedy of Macbeth,美,6,馬克白_(2021年電影),tt10095582,33386178,ajjcw5v7S9-e69X5TivCUQ,Google,Wiki,IMDb,豆瓣,Note,,#黑白片,
2021,2021-09-15,奇蹟：給總統的一封信,The Miracle,韓,8,奇蹟：給總統的一封信,tt14490546,35093796,,Google,Wiki,IMDb,豆瓣,x,,#時空穿越,
2021,2021-09-12,絕命通話,The Desperate Hour,美,6,,tt13133936,35288666,LagWNTxvQ9OqxfLMJ-i3Uw,Google,x,IMDb,豆瓣,Note,,,
2021,2021-09-12,神聖電視台,The Eyes of Tammy Faye,美,6,神聖電視台,tt9115530,33440550,0CG_urQvSCmc0Zy_P_xXkg,Google,Wiki,IMDb,豆瓣,Note,@潔西卡·雀絲坦 @安德魯·加菲爾德,#傳記,
2021,2021-09-08,王者理查,King Richard,美,8,王者理查,tt9620288,30481476,M70aMKo7QS2vp2YSrmX3Ow,Google,Wiki,IMDb,豆瓣,Note,@威爾·史密斯,#傳記 #運動,
2021,2021-09-06,瀑布,The Falls,台,8,瀑布_(電影),tt15119668,35242938,70QZjuFWTOyb8aGhz1fZCQ,Google,Wiki,IMDb,豆瓣,Note,@王淨,,
2021,2021-09-04,迷離夜蘇活,Last Night in Soho,英,10,迷離夜蘇活,tt9639470,30447440,pMZ5Z9TURQ6jB9RsxQVU9Q,Google,Wiki,IMDb,豆瓣,Note,,#時空穿越,
2001,2021-09-03,沙丘,Dune,美,9,沙丘_(2021年電影),tt1160419,3001114,9gCw3UOSQ62F5WfO_cfZlQ,Google,Wiki,IMDb,豆瓣,Note,@提摩西·夏勒梅,,
2021,2021-09-03,史賓賽,Spencer,英,8,史賓賽_(電影),tt12536294,35101435,KoJCyiBuRz-uws7d0-Zq3Q,Google,Wiki,IMDb,豆瓣,Note,,#傳記,
2021,2021-09-02,貝爾法斯特,Belfast,英,7,贝尔法斯特_(电影),tt12789558,35299584,GH0jSinZSAi2o_VSKz3eBw,Google,Wiki,IMDb,豆瓣,Note,@@肯尼斯·布萊納,#黑白片,
2021,2021-09-02,犬山記,The Power of The Dog,英,9,犬山記,tt10293406,33437152,J6Cu0tYrSN6fl3Er1TmbuQ,Google,Wiki,IMDb,豆瓣,Note,@@珍·康萍 @班奈狄克·康柏拜區,!奧斯卡最佳導演(94) #性別,
2021,2021-09-02,天才貓奴畫家,The Electrical Life of Louis Wain,英,6,天才貓奴畫家,tt10687506,34663377,qxiTp2YTSNWYOPYakb-cAA,Google,Wiki,IMDb,豆瓣,Note,@班奈狄克·康柏拜區,#傳記,
2021,2021-09-02,情聖西哈諾,Cyrano,美,7,情聖西哈諾,tt12889404,35210635,GLOUNX0VQxOUd_8N9pVfBA,Google,Wiki,IMDb,豆瓣,Note,@喬·萊特,#音樂歌舞,
2021,2021-09-02,失去的女兒,The Lost Daughter,美,6,暗处的女儿,tt9100054,30344474,wn6BT_kiSx6kbc6BJNc-Aw,Google,Wiki,IMDb,豆瓣,Note,,,
2021,2021-09-02,上帝之手,The Hand of God,義大利,5,上帝之手_(2021年电影),tt12680684,35134764,8PmbpWTST3m1p13MSaNMbQ,Google,Wiki,IMDb,豆瓣,Note,,,
2021,2021-09-01,平行母親,Madres Paralelas,西班牙,9,平行母亲,tt12618926,35123985,cw3xt59oRG-0nQPrDS_79g,Google,Wiki,IMDb,豆瓣,Note,@@佩卓·阿莫多瓦,#性別,
2021,2021-08-23,餐廳失控夜,Boiling Point,英,7,,tt11127680,34981294,ZGoXKAfOQiizWLjmbEYWUg,Google,x,IMDb,豆瓣,Note,,,
2021,2021-08-20,指考風暴,The Exam,伊拉克,7,,tt14463426,35400639,QVMARIxGR6eNHGfOnEGEKA,Google,x,IMDb,豆瓣,Note,,,
2021,2021-08-16,尚氣與十環傳奇,Shang-Chi and the Legend of the Ten Rings,美,7,尚氣與十環傳奇,tt9376612,30394797,,Google,Wiki,IMDb,豆瓣,x,@梁朝偉 @楊紫瓊,!漫威第四階段,
2021,2021-08-10,脫稿玩家,Free Guy,美,8,脫稿玩家,tt6264654,30337388,YifNH_BISuK6Ns2gZKryBQ,Google,Wiki,IMDb,豆瓣,Note,@萊恩·雷諾斯 @查寧·塔圖,,
